	Age	Current Position	Name	Price	Shares Traded	Since	symbol
1	44.0	Chief Financial Officer, Executive Vice President	Paul Beldin			2015.0	AIV.N
2	74.0	Executive Vice President, Chief Administrative Officer	Miles Cortez			2007.0	AIV.N
3	55.0	Executive Vice President, Chief Investment Officer	John Bezzant			2013.0	AIV.N
4	49.0	Executive Vice President, General Counsel, Secretary	Lisa Cohn			2007.0	AIV.N
5	54.0	Executive Vice President - Securities and Debt, Treasurer and President - Aimco Investment Partners	Patti Fielding			2018.0	AIV.N
6	46.0	Executive Vice President - Property Operations	Keith Kimmel			2011.0	AIV.N
7	38.0	Executive Vice President, Redevelopment	Wesley Powell			2018.0	AIV.N
8	72.0	Lead Independent Director	J. Landis Martin			1994.0	AIV.N
9	71.0	Independent Director	Thomas Keltner			2007.0	AIV.N
10	72.0	Independent Director	Robert Miller			2007.0	AIV.N
11	72.0	Independent Director	Kathleen Nelson			2010.0	AIV.N
12	68.0	Independent Director	Michael Stein			2004.0	AIV.N
13	49.0	Independent Director	Nina Tran			2016.0	AIV.N
14		Vice President, Investor Relations	Elizabeth Coalson				AIV.N
0	67.0	Independent Chairman of the Board	Art Levinson			2011.0	AAPL.OQ
1	57.0	Chief Executive Officer, Director	Timothy Cook			2011.0	AAPL.OQ
2	54.0	Chief Financial Officer, Senior Vice President	Luca Maestri			2014.0	AAPL.OQ
3	53.0	Senior Vice President, General Counsel	Katherine Adams			2017.0	AAPL.OQ
4	57.0	Senior Vice President - Worldwide Marketing	Phil Schiller			2002.0	AAPL.OQ
5	57.0	Senior Vice President - Retail	Angela Ahrendts			2014.0	AAPL.OQ
6	54.0	Senior Vice President - Internet Software and Services	Eddy Cue			2011.0	AAPL.OQ
7	48.0	Senior Vice President - Software Engineering	Craig Federighi			2012.0	AAPL.OQ
8	55.0	Senior Vice President - Hardware Engineering	Daniel Riccio			2012.0	AAPL.OQ
9	53.0	Senior Vice President - Hardware Technologies	Johny Srouji			2015.0	AAPL.OQ
10	69.0	Independent Director	James Bell			2015.0	AAPL.OQ
11	69.0	Independent Director	AI Gore			2003.0	AAPL.OQ
12	67.0	Independent Director	Robert Iger			2011.0	AAPL.OQ
13	69.0	Independent Director	Ronald Sugar			2010.0	AAPL.OQ
14	56.0	Independent Director	Sue Wagner			2014.0	AAPL.OQ
0	60.0	Independent Chairman of the Board	Thomas Iannotti			2017.0	AMAT.OQ
1	59.0	President, Chief Executive Officer, Director	Gary Dickerson			2013.0	AMAT.OQ
2	50.0	Chief Financial Officer, Senior Vice President	Daniel Durn			2017.0	AMAT.OQ
3	58.0	Senior Vice President, Chief Technology Officer	Omkaram Nalamasu			2013.0	AMAT.OQ
4	55.0	Senior Vice President, General Counsel, Corporate Secretary	Thomas Larkins			2012.0	AMAT.OQ
5	55.0	Senior Vice President, General Manager - Applied Global Services and Growth Markets	Ali Salehpour			2013.0	AMAT.OQ
6	57.0	Senior Vice President, Engineering, Operations and Quality	Ginetto Addiego			2015.0	AMAT.OQ
7	50.0	Chief Accounting Officer, Corporate Vice President, Corporate Controller	Charles Read			2013.0	AMAT.OQ
8	61.0	Director	Scott McGregor			2018.0	AMAT.OQ
9	59.0	Independent Director	Judy Bruner			2016.0	AMAT.OQ
10	47.0	Independent Director	Xun Chen			2015.0	AMAT.OQ
11	63.0	Independent Director	Aart de Geus			2007.0	AMAT.OQ
12	66.0	Independent Director	Stephen Forrest			2008.0	AMAT.OQ
13	49.0	Independent Director	Alexander Karsner			2008.0	AMAT.OQ
14	44.0	Independent Director	Adrianna Ma			2015.0	AMAT.OQ
15	69.0	Independent Director	Dennis Powell			2007.0	AMAT.OQ
0	72.0	Independent Chairman of the Board	Rajiv Gupta			2015.0	APTV.N
1	55.0	President, Chief Executive Officer, Director	Kevin Clark			2015.0	APTV.N
2	48.0	Chief Financial Officer, Senior Vice President	Joseph Massaro			2016.0	APTV.N
3	58.0	Chief Human Resource Officer, Senior Vice President	Susan Suver			2015.0	APTV.N
4	57.0	Chief Technology Officer, Senior Vice President	Glen De Vos			2017.0	APTV.N
5	58.0	Senior Vice President, Chief Compliance Officer, General Counsel, Secretary	David Sherbin			2009.0	APTV.N
6	54.0	Senior Vice President, President - Aptiv Signal and Power Solutions and Engineered Components Group and Aptiv Asia Pacific	Majdi Abulaban			2017.0	APTV.N
7	37.0	Senior Vice President of Aptiv, President - Aptiv Electrical Distribution Systems	Jerome Dorlack			2017.0	APTV.N
8	48.0	Senior Vice President, President - Advanced Safety and User Experience	David Paja			2017.0	APTV.N
9	51.0	Chief Accounting Officer, Vice President	Allan Brazier			2011.0	APTV.N
10	57.0	Director	Robert Ortberg			2018.0	APTV.N
11	64.0	Independent Director	Nancy Cooper			2018.0	APTV.N
12	61.0	Independent Director	Frank Dellaquila			2017.0	APTV.N
13	72.0	Independent Director	Nicholas Donofrio			2009.0	APTV.N
14	62.0	Independent Director	Mark Frissora			2009.0	APTV.N
15	55.0	Independent Director	Sean Mahoney			2009.0	APTV.N
16	56.0	Independent Director	Colin Parris			2017.0	APTV.N
17	55.0	Independent Director	Ana Pinczuk			2016.0	APTV.N
18	68.0	Independent Director	Thomas Sidlik			2009.0	APTV.N
19	75.0	Independent Director	Lawrence Zimmerman			2009.0	APTV.N
0	56.0	Chairman of the Board, President, Chief Executive Officer	Juan Luciano			2016.0	ADM.N
1	56.0	Chief Financial Officer, Executive Vice President	Ray Young			2015.0	ADM.N
2	55.0	President - Asia Pacific	Donald Chen			2017.0	ADM.N
3	50.0	President - ADM Europe, Middle East, and Africa (EMEA)	Pierre Duprat			2016.0	ADM.N
4	49.0	President, South America	Domingo Lastra			2017.0	ADM.N
5	51.0	President - Bioactives	Vikram Luthar			2017.0	ADM.N
6	45.0	President - Southeast Asia & Global Destination Marketing	Ian Pinner			2015.0	ADM.N
7	55.0	Senior Vice President, Chief Technology Officer	Todd Werpy			2015.0	ADM.N
8	58.0	Senior Vice President, General Counsel, Secretary	D. Cameron Findlay			2013.0	ADM.N
9	60.0	Senior Vice President - Human Resources	Michael D'Ambrose			2006.0	ADM.N
10	44.0	Senior Vice President, President - Corn business	Christopher Cuddy			2015.0	ADM.N
11	52.0	Senior Vice President, President - WILD Flavors and Specialty Ingredients	Vincent Macciocchi			2015.0	ADM.N
12	46.0	Senior Vice President, President - Global Oilseeds	Gregory Morris			2015.0	ADM.N
13	44.0	Senior Vice President, President - Origination and Chief Risk Officer	Stefano Rettore			2018.0	ADM.N
14	50.0	Senior Vice President, Chief Strategy Officer, Chief Sustainability Officer	Ismael Roig			2015.0	ADM.N
15	44.0	Global Chief Compliance Officer	Benjamin Bard			2014.0	ADM.N
16	50.0	Group Vice President, Finance and Corporate Controller	John Stott			2014.0	ADM.N
17	65.0	Vice President - Government Affairs Function	Shannon Herzfeld			2005.0	ADM.N
18	52.0	Senior Vice President, President - Agricultural Services	Joseph Taets			2011.0	ADM.N
19	58.0	Chief Audit Executive	Patricia Logan			2014.0	ADM.N
20	53.0	Assistant Secretary, Chief Counsel, Corporate, Securities, and Mergers and Acquisitions	Thuy-Nga Vo			2017.0	ADM.N
21	70.0	Lead Independent Director	Donald Felsinger			2014.0	ADM.N
22	60.0	Director	Suzan Harrison			2017.0	ADM.N
23	69.0	Independent Director	Alan Boeckmann			2012.0	ADM.N
24	54.0	Independent Director	Michael Burke			2018.0	ADM.N
25	62.0	Independent Director	Terrel Crews			2011.0	ADM.N
26	63.0	Independent Director	Pierre Dufour			2010.0	ADM.N
27	63.0	Independent Director	Patrick Moore			2007.0	ADM.N
28	58.0	Independent Director	Francisco Sanchez			2014.0	ADM.N
29	58.0	Independent Director	Debra Sandler			2016.0	ADM.N
30	66.0	Independent Director	Daniel Shih			2012.0	ADM.N
31	62.0	Independent Director	Kelvin Westbrook			2003.0	ADM.N
32		Investor Relation Officer	Mark Schweitzer			2015.0	ADM.N
0			Plant (John C)	$0.00	6295.0		ARNC.N
1			O'Neal (E Stanley)	$22.19	1678.0		ARNC.N
2			Mahoney (Sean O)	$22.19	1864.0		ARNC.N
3			Collins (Arthur D Jr)	$22.19	1644.0		ARNC.N
4			Ayers (Christopher L)	$22.19	1678.0		ARNC.N
5			Hess (David P)	$22.19	1678.0		ARNC.N
6			Plant (John C)	$22.19	1502.0		ARNC.N
7			O'Neal (E Stanley)	$16.90	2115.0		ARNC.N
8			Hess (David P)	$16.90	2115.0		ARNC.N
9			Mahoney (Sean O)	$16.90	2359.0		ARNC.N
10			Plant (John C)	$16.90	1972.0		ARNC.N
11			Collins (Arthur D Jr)	$16.90	2159.0		ARNC.N
12			Ayers (Christopher L)	$16.90	2115.0		ARNC.N
13			Gupta (Rajiv L)	$0.00	8296.0		ARNC.N
14			Ayers (Christopher L)	$0.00	8296.0		ARNC.N
15			Miller (David J)	$0.00	8296.0		ARNC.N
16			Alving (Amy E)	$0.00	8296.0		ARNC.N
17			Plant (John C)	$0.00	8296.0		ARNC.N
18			Albaugh (James F)	$0.00	8296.0		ARNC.N
19			Collins (Arthur D Jr)	$0.00	8296.0		ARNC.N
20			Doty (Elmer L)	$0.00	8296.0		ARNC.N
21			Mahoney (Sean O)	$0.00	8296.0		ARNC.N
22			O'Neal (E Stanley)	$0.00	8296.0		ARNC.N
23			Schmidt (Ulrich R)	$0.00	8296.0		ARNC.N
24			Hess (David P)	$0.00	8296.0		ARNC.N
0	62.0	Founder, Chairman of the Board, Chief Development Officer	Andreas Bechtolsheim			2015.0	ANET.N
1	57.0	President, Chief Executive Officer, Director	Jayshree Ullal			2008.0	ANET.N
2	46.0	Founder, Chief Technology Officer and Senior Vice President - Software Engineering	Kenneth Duda				ANET.N
3	51.0	Chief Financial Officer, Senior Vice President	Ita Brennan			2015.0	ANET.N
4	49.0	Senior Vice President, General Counsel	Marc Taxay			2016.0	ANET.N
5	58.0	Chief Platform Officer, Senior Vice President - Engineering Operations	John McCool			2017.0	ANET.N
6	41.0	Chief Customer Officer	Anshul Sadana				ANET.N
7	60.0	Independent Director	Charles Giancarlo			2013.0	ANET.N
8	57.0	Independent Director	Ann Mather			2013.0	ANET.N
9	55.0	Independent Director	Daniel Scheinman			2011.0	ANET.N
10	65.0	Independent Director	Mark Templeton				ANET.N
11	55.0	Independent Director	Nikos Theodosopoulos			2014.0	ANET.N
12		Director, Product and Investor Advocacy	Charles Yager			2017.0	ANET.N
0	66.0	Chairman of the Board, President, Chief Executive Officer	J. Patrick Gallagher			2006.0	AJG.N
1	55.0	Corporate Vice President and President	William Ziebell			2017.0	AJG.N
2	56.0	Chief Financial Officer, Corporate Vice President	Douglas Howell			2003.0	AJG.N
3	68.0	Chairman, Employee Benefits Consulting and Brokerage	James Durkin			2017.0	AJG.N
4	65.0	Chairman, Brokerage Services	James Gault			2017.0	AJG.N
5	55.0	Chief Accounting Officer, Controller	Richard Cary			2003.0	AJG.N
6	55.0	Corporate Vice President, General Counsel, Secretary	Walter Bay			2007.0	AJG.N
7	56.0	Corporate Vice President, President - Wholesale Brokerage Operation	Joel Cavaness			2000.0	AJG.N
8	59.0	Corporate Vice President, Chairman - International Brokerage Operation, President- Retail Property/Casualty Brokerage Operation	Thomas Gallagher			2017.0	AJG.N
9	56.0	Corporate Vice President, President - Risk Management Operation	Scott Hudson			2010.0	AJG.N
10		Vice President - Investor Relations	Raymond Iardella			2016.0	AJG.N
11	51.0	Corporate Vice President, Chief Human Resource Officer	Susan Pietrucha			2007.0	AJG.N
12	68.0	Independent Director	Sherry Barrat			2013.0	AJG.N
13	74.0	Independent Director	William Bax			2006.0	AJG.N
14	70.0	Independent Director	David Coldman			2014.0	AJG.N
15	72.0	Independent Director	Frank English			2009.0	AJG.N
16	78.0	Independent Director	Elbert Hand			2002.0	AJG.N
17	62.0	Independent Director	David Johnson			2003.0	AJG.N
18	67.0	Independent Director	Kay McCurdy			2005.0	AJG.N
19	60.0	Independent Director	Ralph Nicoletti			2016.0	AJG.N
20	66.0	Independent Director	Norman Rosenthal			2008.0	AJG.N
0	65.0	Non-Executive Chairman of the Board	Elaine Rosen			2010.0	AIZ.N
1	54.0	Chief Financial Officer, Executive Vice President, Treasurer	Richard Dziadzio			2016.0	AIZ.N
2	59.0	Chief Operating Officer, Executive Vice President	Gene Mergelmeyer			2016.0	AIZ.N
3	46.0	Chief Human Resource Officer, Executive Vice President	Robyn Stonehill			2014.0	AIZ.N
4	56.0	Executive Vice President, Chief Technology Officer	Ajay Waghray			2016.0	AIZ.N
5	53.0	Executive Vice President, Chief Risk Officer	Christopher Pagano			2016.0	AIZ.N
6	47.0	Executive Vice President, Chief Legal Officer and Corporate Secretary	Carey Roberts			2017.0	AIZ.N
7		Executive Vice President, Chief Strategy Officer	Robert Lonergan				AIZ.N
8	56.0	President, Chief Executive Officer, Director	Alan Colberg			2015.0	AIZ.N
9	73.0	Independent Director	Howard Carver			2002.0	AIZ.N
10	66.0	Independent Director	Juan Cento			2006.0	AIZ.N
11	62.0	Independent Director	Elyse Douglas			2011.0	AIZ.N
12	62.0	Independent Director	Harriet Edelman			2017.0	AIZ.N
13	64.0	Independent Director	Lawrence Jackson			2009.0	AIZ.N
14	71.0	Independent Director	Charles Koch			2005.0	AIZ.N
15	70.0	Independent Director	Jean-Paul Montupet			2012.0	AIZ.N
16	67.0	Independent Director	Debra Perry			2017.0	AIZ.N
17	61.0	Independent Director	Paul Reilly			2011.0	AIZ.N
18	69.0	Independent Director	Robert Stein			2011.0	AIZ.N
19		IR Contact Officer	Suzanne Shepherd			2017.0	AIZ.N
0	57.0	Chairman of the Board, President, Chief Executive Officer	Randall Stephenson			2007.0	T.N
1	58.0	Chief Financial Officer, Senior Executive Vice President	John Stephens			2011.0	T.N
2	57.0	Chief Executive Officer - AT&T; Communications, LLC	John Donovan			2017.0	T.N
3	52.0	Chief Executive Officer - AT&T; International and Global Marketing Officer	Lori Lee			2017.0	T.N
4	43.0	Chief Executive Officer-AT&T; Advertising and Analytics, AT&T; Services, Inc.	Brian Lesser			2017.0	T.N
5	59.0	Senior Executive Vice President, Chief Compliance Officer	David Huntley			2014.0	T.N
6	49.0	Senior Executive Vice President, General Counsel	David McAtee			2015.0	T.N
7	62.0	Senior Executive Vice President - Human Resources	William Blase			2007.0	T.N
8	57.0	Senior Executive Vice President – External and Legislative Affairs, AT&T; Services, Inc.	Robert Quinn			2016.0	T.N
9	55.0	Senior Executive Vice President - AT&T;/Time Warner Merger Integration Planning, AT&T; Services, Inc.	John Stankey			2017.0	T.N
10	58.0	Lead Independent Director	Matthew Rose			2017.0	T.N
11	67.0	Independent Director	Samuel Di Piazza			2015.0	T.N
12	68.0	Independent Director	Richard Fisher			2015.0	T.N
13	55.0	Independent Director	Scott Ford			2012.0	T.N
14	62.0	Independent Director	Glenn Hutchins			2014.0	T.N
15	61.0	Independent Director	William Kennard			2014.0	T.N
16	65.0	Independent Director	Michael McCallister			2013.0	T.N
17	63.0	Independent Director	Beth Mooney			2013.0	T.N
18	71.0	Independent Director	Joyce Roche			1998.0	T.N
19	56.0	Independent Director	Cynthia Taylor			2013.0	T.N
20	70.0	Independent Director	Laura Tyson			1999.0	T.N
21	59.0	Independent Director	Geoffrey Yang			2016.0	T.N
22		Senior Vice President - Investor Relations	Michael Viola			2016.0	T.N
0	55.0	Non-Executive Chairman of the Board	Stacy Smith			2018.0	ADSK.OQ
1	53.0	President, Chief Executive Officer, Director	Andrew Anagnost			2017.0	ADSK.OQ
2	56.0	Chief Financial Officer, Senior Vice President, Principal Accounting Officer	Richard Herren			2018.0	ADSK.OQ
3		Chief Human Resource Officer	Carmel Galvin			2018.0	ADSK.OQ
4	52.0	Senior Vice President - Worldwide Sales and Services	Steven Blum			2011.0	ADSK.OQ
5	52.0	Senior Vice President - Corporate Affairs, Chief Legal Officer, Secretary	Pascal Di Fronzo			2016.0	ADSK.OQ
6	72.0	Director	Crawford Beveridge			2018.0	ADSK.OQ
7	61.0	Independent Director	Karen Blasing			2018.0	ADSK.OQ
8	46.0	Independent Director	Reid French			2017.0	ADSK.OQ
9	53.0	Independent Director	Mary McDowell			2010.0	ADSK.OQ
10	58.0	Independent Director	Lorrie Norrington			2011.0	ADSK.OQ
11	56.0	Independent Director	Elizabeth Rafael			2013.0	ADSK.OQ
12		Investor Relations Program Specialist	John Clancy				ADSK.OQ
0	66.0	Independent Non-Executive Chairman of the Board	John Jones			2015.0	ADP.OQ
1	53.0	President, Chief Executive Officer, Director	Carlos Rodriguez			2011.0	ADP.OQ
2	53.0	Corporate Vice President, Chief Financial Officer	Jan Siegmund			2017.0	ADP.OQ
3	50.0	President - Major Account Services and ADP Canada	John Ayala			2017.0	ADP.OQ
4	43.0	President - Small Business Solutions and Human Resources Outsourcing	Maria Black			2017.0	ADP.OQ
5	51.0	President - National Account Services	Deborah Dyson			2017.0	ADP.OQ
6	48.0	President - Worldwide Sales and Marketing	Thomas Perrotti			2017.0	ADP.OQ
7	55.0	President - Added Value Services	Douglas Politi			2013.0	ADP.OQ
8	51.0	Chief Human Resource Officer	Dermot O'Brien			2012.0	ADP.OQ
9	42.0	Corporate Controller, Principal Accounting Officer	Brock Albinson			2015.0	ADP.OQ
10	51.0	Corporate Vice President, General Counsel, Secretary	Michael Bonarti			2010.0	ADP.OQ
11	55.0	Corporate Vice President, Treasurer	Michael Eberhard			2009.0	ADP.OQ
12		Vice President, Assistant Corporate Secretary	Dorothy Wisniowski			2017.0	ADP.OQ
13		Vice President, Investor Relations	Christian Greyenbuhl			2017.0	ADP.OQ
14	55.0	Corporate Vice President - Global Product and Technology	Stuart Sackman			2015.0	ADP.OQ
15	48.0	Chief Strategy Officer	Donald Weinstein			2015.0	ADP.OQ
16		Director	Thomas Lynch			2018.0	ADP.OQ
17	58.0	Director	Scott Powers			2018.0	ADP.OQ
18	60.0	Independent Director	Peter Bisson			2015.0	ADP.OQ
19	71.0	Independent Director	Richard Clark			2011.0	ADP.OQ
20	68.0	Independent Director	Eric Fast			2007.0	ADP.OQ
21	65.0	Independent Director	Linda Gooden			2009.0	ADP.OQ
22	51.0	Independent Director	Michael Gregoire			2014.0	ADP.OQ
23	60.0	Independent Director	Robert Hubbard			2004.0	ADP.OQ
24	38.0	Independent Director	William Ready			2016.0	ADP.OQ
25	61.0	Independent Director	Sandra Wijnberg			2016.0	ADP.OQ
0	52.0	Chairman of the Board, President, Chief Executive Officer	William Rhodes			2007.0	AZO.N
1	58.0	Chief Financial Officer, Executive Vice President - Finance, Information Technology and ALLDATA	William Giles			2012.0	AZO.N
2	56.0	Executive Vice President – Merchandising, Supply Chain, and Marketing	Mark Finestone			2015.0	AZO.N
3	57.0	Executive Vice President – Mexico, Brazil, IMC, and Store Development, Customer Satisfaction	William Graves			2015.0	AZO.N
4	55.0	Executive Vice President – Store Operations, Commercial and Loss Prevention	Thomas Newbern			2015.0	AZO.N
5	63.0	Senior Vice President, Chief Information Officer	Ronald Griffin			2012.0	AZO.N
6	41.0	Senior Vice President, General Counsel, Secretary	Kristen Wright			2014.0	AZO.N
7	52.0	Senior Vice President, Controller	Charlie Pleas			2007.0	AZO.N
8	48.0	Senior Vice President - Commercial	Philip Daniele			2015.0	AZO.N
9	52.0	Senior Vice President - Merchandising	William Hackney			2015.0	AZO.N
10		Senior Vice President - International, Customer Satisfaction	Domingo Hurtado			2018.0	AZO.N
11	53.0	Senior Vice President – Marketing and E-Commerce	Albert Saltiel			2014.0	AZO.N
12	53.0	Senior Vice President - Human Resources	Richard Smith			2015.0	AZO.N
13	55.0	Lead Independent Director	Earl Graves			2009.0	AZO.N
14		Director	Gale King			2018.0	AZO.N
15	51.0	Director	Jill Soltau			2018.0	AZO.N
16	65.0	Independent Director	Douglas Brooks			2013.0	AZO.N
17	56.0	Independent Director	Linda Goodspeed			2013.0	AZO.N
18	58.0	Independent Director	Enderson Guimaraes			2012.0	AZO.N
19	74.0	Independent Director	Joseph Hyde			2007.0	AZO.N
20	56.0	Independent Director	David Jordan			2013.0	AZO.N
21	71.0	Independent Director	William McKenna			2009.0	AZO.N
22	65.0	Independent Director	George Mrkonic			2006.0	AZO.N
23	62.0	Independent Director	Luis Nieto			2008.0	AZO.N
0	82.0	Independent Chairman of the Board	James Diller				AVGO.OQ
1	66.0	President, Chief Executive Officer, Director	Hock Tan				AVGO.OQ
2	40.0	Chief Financial Officer	Thomas Krause			2016.0	AVGO.OQ
3	53.0	Senior Vice President, General Manager - Wireless Semiconductor Division	Bryan Ingram			2015.0	AVGO.OQ
4	46.0	Senior Vice President and Chief Sales Officer	Charlie Kawwas			2015.0	AVGO.OQ
5	63.0	Chief Technology Officer, Director	Henry Samueli			2016.0	AVGO.OQ
6	53.0	Chief Accounting Officer, Vice President and Corporate Controller	Kirsten Spears			2016.0	AVGO.OQ
7	50.0	Chief Legal Officer	Mark Brazeal			2017.0	AVGO.OQ
8	58.0	Independent Director	Gayla Delly			2017.0	AVGO.OQ
9	74.0	Independent Director	Lewis Eggebrecht			2014.0	AVGO.OQ
10	49.0	Independent Director	Kenneth Hao			2005.0	AVGO.OQ
11	67.0	Independent Director	Eddy Hartenstein			2016.0	AVGO.OQ
12	59.0	Independent Director	Check Kian Low			2016.0	AVGO.OQ
13	69.0	Independent Director	Donald Macleod			2007.0	AVGO.OQ
14	64.0	Independent Director	Peter Marks			2013.0	AVGO.OQ
0	56.0	Chairman of the Board, President, Chief Executive Officer	Timothy Naughton			2013.0	AVB.N
1	52.0	Chief Financial Officer	Kevin O'Shea			2015.0	AVB.N
2	51.0	Chief Operating Officer	Sean Breslin			2015.0	AVB.N
3	55.0	Executive Vice President, Chief Administrative Officer	Leo Horey			2012.0	AVB.N
4	55.0	Executive Vice President, General Counsel, Secretary	Edward Schulman			2011.0	AVB.N
5	53.0	Executive Vice President - Development	William McLaughlin			2014.0	AVB.N
6	61.0	Executive Vice President - Development	Stephen Wilson			2014.0	AVB.N
7	48.0	Senior Vice President - Finance, Treasurer	Keri Shea			2013.0	AVB.N
8	52.0	Chief Investment Officer	Matthew Birenbaum			2015.0	AVB.N
9	57.0	Chief Construction Officer	Michael Feigin			2014.0	AVB.N
10	72.0	Lead Independent Director	H. Jay Sarles			2016.0	AVB.N
11	59.0	Independent Director	Glyn Aeppel			2013.0	AVB.N
12	56.0	Independent Director	Terry Brown			2015.0	AVB.N
13	69.0	Independent Director	Alan Buckelew			2011.0	AVB.N
14	60.0	Independent Director	Ronald Havner			2014.0	AVB.N
15	59.0	Independent Director	Stephen Hills			2017.0	AVB.N
16	58.0	Independent Director	Richard Lieb			2017.0	AVB.N
17	72.0	Independent Director	Peter Rummell			2007.0	AVB.N
18	59.0	Independent Director	Susan Swanezy			2016.0	AVB.N
19	62.0	Independent Director	W. Edward Walter			2008.0	AVB.N
20		Director - Investor Relations	Jason Reilley				AVB.N
0	62.0	Non-Executive Chairman of the Board	Dean Scarborough			2017.0	AVY.N
1	46.0	President, Chief Executive Officer	Mitchell Butier			2016.0	AVY.N
2	45.0	Chief Financial Officer, Senior Vice President	Gregory Lovins			2017.0	AVY.N
3	60.0	President - Label and Graphic Materials	Georges Gravanis			2016.0	AVY.N
4	58.0	Senior Vice President, Chief Human Resources Officer	Anne Hill			2007.0	AVY.N
5	58.0	Senior Vice President, General Counsel, Secretary	Susan Miller			2009.0	AVY.N
6	57.0	Vice President, Chief Accounting Officer, Controller	Lori Bondar			2010.0	AVY.N
7	52.0	Vice President, General Manager - Industrial and Health Care Materials	Michael Johansen			2016.0	AVY.N
8	49.0	"Vice President, General Manager - Retail Branding and Information Solutions (""RBIS"")"	Deon Stander			2016.0	AVY.N
9	65.0	Lead Independent Director	David Pyott			2010.0	AVY.N
10	53.0	Director	Mark Barrenechea			2018.0	AVY.N
11	61.0	Independent Director	Bradley Alford			2010.0	AVY.N
12	62.0	Independent Director	Anthony Anderson			2012.0	AVY.N
13	69.0	Independent Director	Peter Barker			2003.0	AVY.N
14	65.0	Independent Director	Ken Hicks			2007.0	AVY.N
15	55.0	Independent Director	Andres Lopez			2017.0	AVY.N
16	62.0	Independent Director	Patrick Siewert			2005.0	AVY.N
17	62.0	Independent Director	Julia Stewart			2003.0	AVY.N
18	61.0	Independent Director	Martha Sullivan			2013.0	AVY.N
0	44.0	Chairman of the Board, President, Chief Executive Officer	Lorenzo Simonelli			2017.0	BHGE.N
1	58.0	Vice Chairman of the Board	Martin Craighead			2017.0	BHGE.N
2	48.0	Chief Financial Officer	Brian Worrell			2017.0	BHGE.N
3	49.0	President and Chief Executive Officer, Oilfield Services	Maria Borras			2017.0	BHGE.N
4	55.0	President - Turbomachinery and Process Solutions	Roderick Christie			2017.0	BHGE.N
5	49.0	President and Chief Executive Officer - Digital Solutions	Matthias Heilmann			2017.0	BHGE.N
6	48.0	President and Chief Executive Officer of Oilfield Equipment	Neil Saunders			2017.0	BHGE.N
7		Chief Human Resource Officer	Harry Elsinga				BHGE.N
8	47.0	Chief Marketing and Technology Officer	Derek Mathieson			2017.0	BHGE.N
9	43.0	Chief Accounting Officer, Vice President, Controller	Kurt Camilleri			2017.0	BHGE.N
10		Chief Information Officer	Jennifer Hartsock				BHGE.N
11	54.0	Chief Global Operations Officer and Integration Officer	Belgacem Chariag			2017.0	BHGE.N
12	63.0	Chief Health, Safety and Environment (HSE) Officer	Jack Hinton			2016.0	BHGE.N
13		Chief Business Development Officer	Nicola Jannis				BHGE.N
14		Supply Chain Officer	Jody Markopoulos				BHGE.N
15	55.0	Chief Legal Officer	William Marsh			2017.0	BHGE.N
16	46.0	Chief Global Operations Officer	Uwem Ukpong			2018.0	BHGE.N
17	58.0	Lead Independent Director	W. Geoffrey Beattie			2017.0	BHGE.N
18	49.0	Director	Jamie Miller			2017.0	BHGE.N
19	61.0	Director	John Rice			2017.0	BHGE.N
20	56.0	Independent Director	Gregory Brenneman			2017.0	BHGE.N
21	67.0	Independent Director	Clarence Cazalot			2017.0	BHGE.N
22	61.0	Independent Director	Lynn Elsenhans			2017.0	BHGE.N
23	71.0	Independent Director	James Mulva			2017.0	BHGE.N
24		Vice President, Investor Relations	Philipp Mueller			2017.0	BHGE.N
0	52.0	Chairman of the Board, President, Chief Executive Officer	John Hayes			2013.0	BLL.N
1	55.0	Chief Financial Officer, Senior Vice President	Scott Morrison			2010.0	BLL.N
2	56.0	Senior Vice President - Human Resources and Administration	Lisa Pauley			2011.0	BLL.N
3	45.0	Senior Vice President, Chief Operating Officer - Global Beverage Packaging	Daniel Fisher			2016.0	BLL.N
4	49.0	Senior Vice President, Ball Corporation, and Chief Operating Officer, Global Metal Food and Household Products Packaging	James Peterson			2015.0	BLL.N
5	61.0	Senior Vice President, President of Ball Aerospace & Technologies Corp	Robert Strain			2013.0	BLL.N
6	60.0	Vice President, General Counsel, Corporate Secretary	Charles Baker			2011.0	BLL.N
7	39.0	Vice President, Controller	Nate Carey			2017.0	BLL.N
8	46.0	Vice President, Treasurer	Jeffrey Knobel			2011.0	BLL.N
9	71.0	Lead Independent Director	Theodore Solso			2013.0	BLL.N
10	52.0	Director	John Bryant			2018.0	BLL.N
11	64.0	Director	Pedro Mariani			2017.0	BLL.N
12	70.0	Independent Director	Robert Alspaugh			2008.0	BLL.N
13	57.0	Independent Director	Michael Cave			2014.0	BLL.N
14	61.0	Independent Director	Daniel Heinrich			2016.0	BLL.N
15	68.0	Independent Director	Georgia Nelson			2006.0	BLL.N
16	58.0	Independent Director	Cynthia Niekamp			2016.0	BLL.N
17	60.0	Independent Director	Cathy Ross			2017.0	BLL.N
18	57.0	Independent Director	Stuart Taylor			1999.0	BLL.N
19		Vice President, Investor Relations	Ann Scott			2016.0	BLL.N
0	58.0	Chairman of the Board, President, Chief Executive Officer	Brian Moynihan			2014.0	BAC.N
1	57.0	Chief Financial Officer	Paul Donofrio			2015.0	BAC.N
